model,accuracy,precision_spam,recall_spam,f1_spam,precision_ham,recall_ham,f1_ham,macro_f1,tn,fp,fn,tp
NB_tfidf,0.9897686832740213,0.9803082191780822,1.0,0.9900562040639862,1.0,0.9791477787851315,0.9894640403114979,0.9897601221877421,3240,69,0,3435
RF_tfidf,0.9997034400948992,0.9994180971777713,1.0,0.9997089639115251,1.0,0.9993955877908733,0.9996977025392987,0.9997033332254119,3307,2,0,3435
MLP_tfidf,0.9994068801897983,0.9988368711834835,1.0,0.9994180971777713,1.0,0.9987911755817468,0.999395222255821,0.9994066597167961,3305,4,0,3435
NB_tfidf_sent,0.9902135231316725,0.9811482433590403,1.0,0.990484429065744,1.0,0.9800543970988214,0.98992673992674,0.990205584496242,3243,66,0,3435
RF_tfidf_sent,0.9997034400948992,0.9994180971777713,1.0,0.9997089639115251,1.0,0.9993955877908733,0.9996977025392987,0.9997033332254119,3307,2,0,3435
MLP_tfidf_sent,0.9994068801897983,0.9988368711834835,1.0,0.9994180971777713,1.0,0.9987911755817468,0.999395222255821,0.9994066597167961,3305,4,0,3435
NB_sent_only,0.6193653618030842,0.5723092302565811,1.0,0.7279855886404578,1.0,0.22423692958597763,0.36632930140706,0.5471574450237588,742,2567,0,3435
RF_sent_only,0.9994068801897983,0.9988368711834835,1.0,0.9994180971777713,1.0,0.9987911755817468,0.999395222255821,0.9994066597167961,3305,4,0,3435
MLP_sent_only,0.9188908659549229,0.8626318432948267,1.0,0.9262505055952541,1.0,0.8346932608038682,0.9098995223192226,0.9180750139572383,2762,547,0,3435
